id_mata_kuliah	kd_mata_kuliah	nama_mata_kuliah	nama_mata_kuliah_english	sks	semester	tingkat_mata_kuliah	index_minimum	id_program_studi	nama_prodi	nama_prodi_en
1	BKD35B3	APLIKASI KOMPUTER I	COMPUTER APPLICATION I	3	Ganjil	3	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
2	BKD25F0	SERTIFIKASI MYOB	MYOB CERTIFICATION	0	Ganjil	3	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
3	BKD92J0	SERTIFIKASI KOMPETENSI LSPP (2	COMPETENCY CERTIFICATION OF THE BANKING PROFESSIONAL CERTIFICATION AGENCY (LSPP) (2)	0	Genap	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
4	BKD94B0	SERTIFIKASI KOMPETENSI LSPP (4	COMPETENCY CERTIFICATION OF THE BANKING PROFESSIONAL CERTIFICATION AGENCY (LSPP) (4)	0	Genap	2	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
5	BKD96I0	SERTIFIKASI KOMPETENSI LSPP (6	COMPETENCY CERTIFICATION OF THE BANKING PROFESSIONAL CERTIFICATION AGENCY (LSPP) (6)	0	Genap	3	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
6	BKD03A0	SERTIFIKASI KOMPETENSI LSPP (3	COMPETENCY CERTIFICATION OF THE BANKING PROFESSIONAL CERTIFICATION AGENCY (LSPP) (3)	0	Ganjil	2	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
7	BKD05D0	SERTIFIKASI KOMPETENSI LSPP (5	COMPETENCY CERTIFICATION OF THE BANKING PROFESSIONAL CERTIFICATION AGENCY (LSPP) (5)	0	Ganjil	3	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
8	BKD05F0	SERTIFIKASI WORKSHOP LPPI (5)	WORKSHOP CERTIFICATION OF THE INDONESIAN BANKING DEVELOPMENT INSTITUTE (LPPI) (5)	0	Ganjil	3	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
9	BKD05E0	SERTIFIKASI MYOB (5)	MYOB CERTIFICATION (5)	0	Ganjil	3	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
10	BKD96J0	SERTIFIKASI MYOB (6)	MYOB CERTIFICATION (6)	0	Genap	3	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
11	BKD96K0	SERTIFIKASI WORKSHOP LPPI (6)	WORKSHOP CERTIFICATION OF THE INDONESIAN BANKING DEVELOPMENT INSTITUTE (LPPI) (6)	0	Genap	3	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
12	BKD51G2	PENDIDIKAN AGAMA ISLAM	ISLAMIC EDUCATION	2	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
13	BKD41H2	PEND. AGAMA KRISTEN PROTESTAN	PROTESTANT CHRISTIAN EDUCATION	2	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
14	BKD41G2	PEND. AGAMA KRISTEN KATOLIK	CATHOLIC CHRISTIAN EDUCATION	2	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
15	BKD41F2	PENDIDIKAN AGAMA BUDDHA	BUDDHIST EDUCATION	2	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
16	BKD31I2	PENDIDIKAN AGAMA HINDU	HINDU EDUCATION	2	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
17	BKD21J3	PENDIDIKAN AGAMA ISLAM	ISLAMIC EDUCATION	3	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
18	BKD21G3	PEND. AGAMA KRISTEN PROTESTAN	PROTESTANT CHRISTIAN EDUCATION	3	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
19	BKD21F3	PEND. AGAMA KRISTEN KATOLIK	CATHOLIC CHRISTIAN EDUCATION	3	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
20	BKD21H3	PENDIDIKAN AGAMA BUDHA	BUDDHIST EDUCATION	3	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
21	BKD21I3	PENDIDIKAN AGAMA HINDU	HINDU EDUCATION	3	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
22	BKD51F2	PANCASILA & UUD 1945	PANCASILA AND THE 1945 CONSTITUTION	2	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
23	BKD61C2	PENDIDIKAN KEWARGANEGARAAN	CIVIC EDUCATION	2	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
24	BKD21E3	PANCASILA & P. KEWARGANEGARAAN	PANCASILA AND CIVIC EDUCATION	3	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
25	BKD11H2	PANCASILA DAN KEWARGANEGARAAN	PANCASILA AND CITIZENSHIP	2	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
26	BKD31E2	PENDIDIKAN AGAMA KHONGHUCU	CONFUCIANISM EDUCATION	2	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
27	BKD11E2	PENDIDIKAN AGAMA KHONGHUCU	CONFUCIANISM EDUCATION	2	Ganjil	1	C	1	PERBANKAN DAN KEUANGAN	BANKING AND FINANCE
