start,end,day,is_lab_slot
7.30,10.00,Mon,False
10.15,12.45,Mon,False
13.00,15.30,Mon,False
15.45,18.30,Mon,False
18.30,20.30,Mon,False
20.30,22.00,Mon,False
7.30,10.00,Tue,False
10.15,12.45,Tue,False
13.00,15.30,Tue,False
15.45,18.30,Tue,False
18.30,20.30,Tue,False
20.30,22.00,Tue,False
7.30,10.00,Wed,False
10.15,12.45,Wed,False
13.00,15.30,Wed,False
15.45,18.30,Wed,False
18.30,20.30,Wed,False
20.30,22.00,Wed,False
7.30,10.00,Thu,False
10.15,12.45,Thu,False
13.00,15.30,Thu,False
15.45,18.30,Thu,False
18.30,20.30,Thu,False
20.30,22.00,Thu,False
7.30,10.00,Fri,False
10.15,12.45,Fri,False
13.00,15.30,Fri,False
15.45,18.30,Fri,False
18.30,20.30,Fri,False
20.30,22.00,Fri,False
7.30,10.00,Sat,False
10.15,12.45,Sat,False
13.00,15.30,Sat,False
15.45,18.30,Sat,False
18.30,20.30,Sat,False
20.30,22.00,Sat,False
